"Uzunluk";"Cevap";"Kategori";"Atom Numarası";"Türkçe İpucu";"İngilizce İpucu";"Alternatif Türkçe İpuçları";"Durum"
"2";"ER";"element-symbol";"68";"Atom numarası 68 olan elementin simgesi";"Symbol of the element with atomic number 68";"İngiliz alfabesinde E ve R harfleri";"approved"
"2";"ES";"element-symbol";"99";"Atom numarası 99 olan elementin simgesi";"Symbol of the element with atomic number 99";"İngiliz alfabesinde E ve S harfleri";"approved"
"2";"EŞ";"alphabet-pair";"";"Türk alfabesinde E ve Ş harfleri";"Letters E and Ş in the Turkish alphabet";"";"approved"
"2";"ET";"alphabet-pair";"";"İngiliz alfabesinde E ve T harfleri";"Letters E and T in the English alphabet";"";"approved"
"2";"EU";"element-symbol";"63";"Atom numarası 63 olan elementin simgesi";"Symbol of the element with atomic number 63";"İngiliz alfabesinde E ve U harfleri";"approved"
"2";"EÜ";"alphabet-pair";"";"Türk alfabesinde E ve Ü harfleri";"Letters E and Ü in the Turkish alphabet";"";"approved"
"2";"EV";"alphabet-pair";"";"İngiliz alfabesinde E ve V harfleri";"Letters E and V in the English alphabet";"";"approved"
"2";"EW";"alphabet-pair";"";"İngiliz alfabesinde E ve W harfleri";"Letters E and W in the English alphabet";"";"approved"
"2";"EX";"alphabet-pair";"";"İngiliz alfabesinde E ve X harfleri";"Letters E and X in the English alphabet";"";"approved"
"2";"EY";"alphabet-pair";"";"İngiliz alfabesinde E ve Y harfleri";"Letters E and Y in the English alphabet";"";"approved"
"2";"EZ";"alphabet-pair";"";"İngiliz alfabesinde E ve Z harfleri";"Letters E and Z in the English alphabet";"";"approved"
"2";"FA";"alphabet-pair";"";"İngiliz alfabesinde F ve A harfleri";"Letters F and A in the English alphabet";"";"approved"
"2";"FB";"alphabet-pair";"";"İngiliz alfabesinde F ve B harfleri";"Letters F and B in the English alphabet";"";"approved"
"2";"FC";"alphabet-pair";"";"İngiliz alfabesinde F ve C harfleri";"Letters F and C in the English alphabet";"";"approved"
"2";"FÇ";"alphabet-pair";"";"Türk alfabesinde F ve Ç harfleri";"Letters F and Ç in the Turkish alphabet";"";"approved"
"2";"FD";"alphabet-pair";"";"İngiliz alfabesinde F ve D harfleri";"Letters F and D in the English alphabet";"";"approved"
"2";"FE";"element-symbol";"26";"Atom numarası 26 olan elementin simgesi";"Symbol of the element with atomic number 26";"İngiliz alfabesinde F ve E harfleri";"approved"
"2";"FF";"alphabet-pair";"";"İngiliz alfabesinde F ve F harfleri";"Letters F and F in the English alphabet";"";"approved"
"2";"FG";"alphabet-pair";"";"İngiliz alfabesinde F ve G harfleri";"Letters F and G in the English alphabet";"";"approved"
"2";"FĞ";"alphabet-pair";"";"Türk alfabesinde F ve Ğ harfleri";"Letters F and Ğ in the Turkish alphabet";"";"approved"
"2";"FH";"alphabet-pair";"";"İngiliz alfabesinde F ve H harfleri";"Letters F and H in the English alphabet";"";"approved"
"2";"FI";"alphabet-pair";"";"İngiliz alfabesinde F ve I harfleri";"Letters F and I in the English alphabet";"";"approved"
"2";"Fİ";"alphabet-pair";"";"Türk alfabesinde F ve İ harfleri";"Letters F and İ in the Turkish alphabet";"";"approved"
"2";"FJ";"alphabet-pair";"";"İngiliz alfabesinde F ve J harfleri";"Letters F and J in the English alphabet";"";"approved"
"2";"FK";"alphabet-pair";"";"İngiliz alfabesinde F ve K harfleri";"Letters F and K in the English alphabet";"";"approved"
"2";"FL";"element-symbol";"114";"Atom numarası 114 olan elementin simgesi";"Symbol of the element with atomic number 114";"İngiliz alfabesinde F ve L harfleri";"approved"
"2";"FM";"element-symbol";"100";"Atom numarası 100 olan elementin simgesi";"Symbol of the element with atomic number 100";"İngiliz alfabesinde F ve M harfleri";"approved"
"2";"FN";"alphabet-pair";"";"İngiliz alfabesinde F ve N harfleri";"Letters F and N in the English alphabet";"";"approved"
"2";"FO";"alphabet-pair";"";"İngiliz alfabesinde F ve O harfleri";"Letters F and O in the English alphabet";"";"approved"
"2";"FÖ";"alphabet-pair";"";"Türk alfabesinde F ve Ö harfleri";"Letters F and Ö in the Turkish alphabet";"";"approved"
"2";"FP";"alphabet-pair";"";"İngiliz alfabesinde F ve P harfleri";"Letters F and P in the English alphabet";"";"approved"
"2";"FQ";"alphabet-pair";"";"İngiliz alfabesinde F ve Q harfleri";"Letters F and Q in the English alphabet";"";"approved"
"2";"FR";"element-symbol";"87";"Atom numarası 87 olan elementin simgesi";"Symbol of the element with atomic number 87";"İngiliz alfabesinde F ve R harfleri";"approved"
"2";"FS";"alphabet-pair";"";"İngiliz alfabesinde F ve S harfleri";"Letters F and S in the English alphabet";"";"approved"
"2";"FŞ";"alphabet-pair";"";"Türk alfabesinde F ve Ş harfleri";"Letters F and Ş in the Turkish alphabet";"";"approved"
"2";"FT";"alphabet-pair";"";"İngiliz alfabesinde F ve T harfleri";"Letters F and T in the English alphabet";"";"approved"
"2";"FU";"alphabet-pair";"";"İngiliz alfabesinde F ve U harfleri";"Letters F and U in the English alphabet";"";"approved"
"2";"FÜ";"alphabet-pair";"";"Türk alfabesinde F ve Ü harfleri";"Letters F and Ü in the Turkish alphabet";"";"approved"
"2";"FV";"alphabet-pair";"";"İngiliz alfabesinde F ve V harfleri";"Letters F and V in the English alphabet";"";"approved"
"2";"FW";"alphabet-pair";"";"İngiliz alfabesinde F ve W harfleri";"Letters F and W in the English alphabet";"";"approved"
"2";"FX";"alphabet-pair";"";"İngiliz alfabesinde F ve X harfleri";"Letters F and X in the English alphabet";"";"approved"
"2";"FY";"alphabet-pair";"";"İngiliz alfabesinde F ve Y harfleri";"Letters F and Y in the English alphabet";"";"approved"
"2";"FZ";"alphabet-pair";"";"İngiliz alfabesinde F ve Z harfleri";"Letters F and Z in the English alphabet";"";"approved"
"2";"GA";"element-symbol";"31";"Atom numarası 31 olan elementin simgesi";"Symbol of the element with atomic number 31";"İngiliz alfabesinde G ve A harfleri";"approved"
"2";"ĞA";"alphabet-pair";"";"Türk alfabesinde Ğ ve A harfleri";"Letters Ğ and A in the Turkish alphabet";"";"approved"
"2";"GB";"alphabet-pair";"";"İngiliz alfabesinde G ve B harfleri";"Letters G and B in the English alphabet";"";"approved"
"2";"ĞB";"alphabet-pair";"";"Türk alfabesinde Ğ ve B harfleri";"Letters Ğ and B in the Turkish alphabet";"";"approved"
"2";"GC";"alphabet-pair";"";"İngiliz alfabesinde G ve C harfleri";"Letters G and C in the English alphabet";"";"approved"
"2";"GÇ";"alphabet-pair";"";"Türk alfabesinde G ve Ç harfleri";"Letters G and Ç in the Turkish alphabet";"";"approved"
"2";"ĞC";"alphabet-pair";"";"Türk alfabesinde Ğ ve C harfleri";"Letters Ğ and C in the Turkish alphabet";"";"approved"
"2";"ĞÇ";"alphabet-pair";"";"Türk alfabesinde Ğ ve Ç harfleri";"Letters Ğ and Ç in the Turkish alphabet";"";"approved"
"2";"GD";"element-symbol";"64";"Atom numarası 64 olan elementin simgesi";"Symbol of the element with atomic number 64";"İngiliz alfabesinde G ve D harfleri";"approved"
"2";"ĞD";"alphabet-pair";"";"Türk alfabesinde Ğ ve D harfleri";"Letters Ğ and D in the Turkish alphabet";"";"approved"
"2";"GE";"element-symbol";"32";"Atom numarası 32 olan elementin simgesi";"Symbol of the element with atomic number 32";"İngiliz alfabesinde G ve E harfleri";"approved"
"2";"ĞE";"alphabet-pair";"";"Türk alfabesinde Ğ ve E harfleri";"Letters Ğ and E in the Turkish alphabet";"";"approved"
"2";"GF";"alphabet-pair";"";"İngiliz alfabesinde G ve F harfleri";"Letters G and F in the English alphabet";"";"approved"
"2";"ĞF";"alphabet-pair";"";"Türk alfabesinde Ğ ve F harfleri";"Letters Ğ and F in the Turkish alphabet";"";"approved"
"2";"GG";"alphabet-pair";"";"İngiliz alfabesinde G ve G harfleri";"Letters G and G in the English alphabet";"";"approved"
"2";"GĞ";"alphabet-pair";"";"Türk alfabesinde G ve Ğ harfleri";"Letters G and Ğ in the Turkish alphabet";"";"approved"
"2";"ĞG";"alphabet-pair";"";"Türk alfabesinde Ğ ve G harfleri";"Letters Ğ and G in the Turkish alphabet";"";"approved"
"2";"ĞĞ";"alphabet-pair";"";"Türk alfabesinde Ğ ve Ğ harfleri";"Letters Ğ and Ğ in the Turkish alphabet";"";"approved"
"2";"GH";"alphabet-pair";"";"İngiliz alfabesinde G ve H harfleri";"Letters G and H in the English alphabet";"";"approved"
"2";"ĞH";"alphabet-pair";"";"Türk alfabesinde Ğ ve H harfleri";"Letters Ğ and H in the Turkish alphabet";"";"approved"
"2";"GI";"alphabet-pair";"";"İngiliz alfabesinde G ve I harfleri";"Letters G and I in the English alphabet";"";"approved"
"2";"Gİ";"alphabet-pair";"";"Türk alfabesinde G ve İ harfleri";"Letters G and İ in the Turkish alphabet";"";"approved"
"2";"ĞI";"alphabet-pair";"";"Türk alfabesinde Ğ ve I harfleri";"Letters Ğ and I in the Turkish alphabet";"";"approved"
"2";"Ğİ";"alphabet-pair";"";"Türk alfabesinde Ğ ve İ harfleri";"Letters Ğ and İ in the Turkish alphabet";"";"approved"
"2";"GJ";"alphabet-pair";"";"İngiliz alfabesinde G ve J harfleri";"Letters G and J in the English alphabet";"";"approved"
"2";"ĞJ";"alphabet-pair";"";"Türk alfabesinde Ğ ve J harfleri";"Letters Ğ and J in the Turkish alphabet";"";"approved"
"2";"GK";"alphabet-pair";"";"İngiliz alfabesinde G ve K harfleri";"Letters G and K in the English alphabet";"";"approved"
"2";"ĞK";"alphabet-pair";"";"Türk alfabesinde Ğ ve K harfleri";"Letters Ğ and K in the Turkish alphabet";"";"approved"
"2";"GL";"alphabet-pair";"";"İngiliz alfabesinde G ve L harfleri";"Letters G and L in the English alphabet";"";"approved"
"2";"ĞL";"alphabet-pair";"";"Türk alfabesinde Ğ ve L harfleri";"Letters Ğ and L in the Turkish alphabet";"";"approved"
"2";"GM";"alphabet-pair";"";"İngiliz alfabesinde G ve M harfleri";"Letters G and M in the English alphabet";"";"approved"
"2";"ĞM";"alphabet-pair";"";"Türk alfabesinde Ğ ve M harfleri";"Letters Ğ and M in the Turkish alphabet";"";"approved"
"2";"GN";"alphabet-pair";"";"İngiliz alfabesinde G ve N harfleri";"Letters G and N in the English alphabet";"";"approved"
"2";"ĞN";"alphabet-pair";"";"Türk alfabesinde Ğ ve N harfleri";"Letters Ğ and N in the Turkish alphabet";"";"approved"
"2";"GO";"alphabet-pair";"";"İngiliz alfabesinde G ve O harfleri";"Letters G and O in the English alphabet";"";"approved"
"2";"GÖ";"alphabet-pair";"";"Türk alfabesinde G ve Ö harfleri";"Letters G and Ö in the Turkish alphabet";"";"approved"
"2";"ĞO";"alphabet-pair";"";"Türk alfabesinde Ğ ve O harfleri";"Letters Ğ and O in the Turkish alphabet";"";"approved"
"2";"ĞÖ";"alphabet-pair";"";"Türk alfabesinde Ğ ve Ö harfleri";"Letters Ğ and Ö in the Turkish alphabet";"";"approved"
"2";"GP";"alphabet-pair";"";"İngiliz alfabesinde G ve P harfleri";"Letters G and P in the English alphabet";"";"approved"
"2";"ĞP";"alphabet-pair";"";"Türk alfabesinde Ğ ve P harfleri";"Letters Ğ and P in the Turkish alphabet";"";"approved"
"2";"GQ";"alphabet-pair";"";"İngiliz alfabesinde G ve Q harfleri";"Letters G and Q in the English alphabet";"";"approved"
"2";"GR";"alphabet-pair";"";"İngiliz alfabesinde G ve R harfleri";"Letters G and R in the English alphabet";"";"approved"
"2";"ĞR";"alphabet-pair";"";"Türk alfabesinde Ğ ve R harfleri";"Letters Ğ and R in the Turkish alphabet";"";"approved"
"2";"GS";"alphabet-pair";"";"İngiliz alfabesinde G ve S harfleri";"Letters G and S in the English alphabet";"";"approved"
"2";"GŞ";"alphabet-pair";"";"Türk alfabesinde G ve Ş harfleri";"Letters G and Ş in the Turkish alphabet";"";"approved"
"2";"ĞS";"alphabet-pair";"";"Türk alfabesinde Ğ ve S harfleri";"Letters Ğ and S in the Turkish alphabet";"";"approved"
"2";"ĞŞ";"alphabet-pair";"";"Türk alfabesinde Ğ ve Ş harfleri";"Letters Ğ and Ş in the Turkish alphabet";"";"approved"
"2";"GT";"alphabet-pair";"";"İngiliz alfabesinde G ve T harfleri";"Letters G and T in the English alphabet";"";"approved"
"2";"ĞT";"alphabet-pair";"";"Türk alfabesinde Ğ ve T harfleri";"Letters Ğ and T in the Turkish alphabet";"";"approved"
"2";"GU";"alphabet-pair";"";"İngiliz alfabesinde G ve U harfleri";"Letters G and U in the English alphabet";"";"approved"
"2";"GÜ";"alphabet-pair";"";"Türk alfabesinde G ve Ü harfleri";"Letters G and Ü in the Turkish alphabet";"";"approved"
"2";"ĞU";"alphabet-pair";"";"Türk alfabesinde Ğ ve U harfleri";"Letters Ğ and U in the Turkish alphabet";"";"approved"
"2";"ĞÜ";"alphabet-pair";"";"Türk alfabesinde Ğ ve Ü harfleri";"Letters Ğ and Ü in the Turkish alphabet";"";"approved"
"2";"GV";"alphabet-pair";"";"İngiliz alfabesinde G ve V harfleri";"Letters G and V in the English alphabet";"";"approved"
"2";"ĞV";"alphabet-pair";"";"Türk alfabesinde Ğ ve V harfleri";"Letters Ğ and V in the Turkish alphabet";"";"approved"
"2";"GW";"alphabet-pair";"";"İngiliz alfabesinde G ve W harfleri";"Letters G and W in the English alphabet";"";"approved"
"2";"GX";"alphabet-pair";"";"İngiliz alfabesinde G ve X harfleri";"Letters G and X in the English alphabet";"";"approved"
"2";"GY";"alphabet-pair";"";"İngiliz alfabesinde G ve Y harfleri";"Letters G and Y in the English alphabet";"";"approved"
"2";"ĞY";"alphabet-pair";"";"Türk alfabesinde Ğ ve Y harfleri";"Letters Ğ and Y in the Turkish alphabet";"";"approved"
"2";"GZ";"alphabet-pair";"";"İngiliz alfabesinde G ve Z harfleri";"Letters G and Z in the English alphabet";"";"approved"
"2";"ĞZ";"alphabet-pair";"";"Türk alfabesinde Ğ ve Z harfleri";"Letters Ğ and Z in the Turkish alphabet";"";"approved"
"2";"HA";"alphabet-pair";"";"İngiliz alfabesinde H ve A harfleri";"Letters H and A in the English alphabet";"";"approved"
"2";"HB";"alphabet-pair";"";"İngiliz alfabesinde H ve B harfleri";"Letters H and B in the English alphabet";"";"approved"
"2";"HC";"alphabet-pair";"";"İngiliz alfabesinde H ve C harfleri";"Letters H and C in the English alphabet";"";"approved"
"2";"HÇ";"alphabet-pair";"";"Türk alfabesinde H ve Ç harfleri";"Letters H and Ç in the Turkish alphabet";"";"approved"
"2";"HD";"alphabet-pair";"";"İngiliz alfabesinde H ve D harfleri";"Letters H and D in the English alphabet";"";"approved"
"2";"HE";"element-symbol";"2";"Atom numarası 2 olan elementin simgesi";"Symbol of the element with atomic number 2";"İngiliz alfabesinde H ve E harfleri";"approved"
"2";"HF";"element-symbol";"72";"Atom numarası 72 olan elementin simgesi";"Symbol of the element with atomic number 72";"İngiliz alfabesinde H ve F harfleri";"approved"
"2";"HG";"element-symbol";"80";"Atom numarası 80 olan elementin simgesi";"Symbol of the element with atomic number 80";"İngiliz alfabesinde H ve G harfleri";"approved"
"2";"HĞ";"alphabet-pair";"";"Türk alfabesinde H ve Ğ harfleri";"Letters H and Ğ in the Turkish alphabet";"";"approved"
"2";"HH";"alphabet-pair";"";"İngiliz alfabesinde H ve H harfleri";"Letters H and H in the English alphabet";"";"approved"
"2";"HI";"alphabet-pair";"";"İngiliz alfabesinde H ve I harfleri";"Letters H and I in the English alphabet";"";"approved"
"2";"Hİ";"alphabet-pair";"";"Türk alfabesinde H ve İ harfleri";"Letters H and İ in the Turkish alphabet";"";"approved"
"2";"HJ";"alphabet-pair";"";"İngiliz alfabesinde H ve J harfleri";"Letters H and J in the English alphabet";"";"approved"
"2";"HK";"alphabet-pair";"";"İngiliz alfabesinde H ve K harfleri";"Letters H and K in the English alphabet";"";"approved"
"2";"HL";"alphabet-pair";"";"İngiliz alfabesinde H ve L harfleri";"Letters H and L in the English alphabet";"";"approved"
"2";"HM";"alphabet-pair";"";"İngiliz alfabesinde H ve M harfleri";"Letters H and M in the English alphabet";"";"approved"
"2";"HN";"alphabet-pair";"";"İngiliz alfabesinde H ve N harfleri";"Letters H and N in the English alphabet";"";"approved"
"2";"HO";"element-symbol";"67";"Atom numarası 67 olan elementin simgesi";"Symbol of the element with atomic number 67";"İngiliz alfabesinde H ve O harfleri";"approved"
"2";"HÖ";"alphabet-pair";"";"Türk alfabesinde H ve Ö harfleri";"Letters H and Ö in the Turkish alphabet";"";"approved"
"2";"HP";"alphabet-pair";"";"İngiliz alfabesinde H ve P harfleri";"Letters H and P in the English alphabet";"";"approved"
"2";"HQ";"alphabet-pair";"";"İngiliz alfabesinde H ve Q harfleri";"Letters H and Q in the English alphabet";"";"approved"
"2";"HR";"alphabet-pair";"";"İngiliz alfabesinde H ve R harfleri";"Letters H and R in the English alphabet";"";"approved"
"2";"HS";"element-symbol";"108";"Atom numarası 108 olan elementin simgesi";"Symbol of the element with atomic number 108";"İngiliz alfabesinde H ve S harfleri";"approved"
"2";"HŞ";"alphabet-pair";"";"Türk alfabesinde H ve Ş harfleri";"Letters H and Ş in the Turkish alphabet";"";"approved"
"2";"HT";"alphabet-pair";"";"İngiliz alfabesinde H ve T harfleri";"Letters H and T in the English alphabet";"";"approved"
"2";"HU";"alphabet-pair";"";"İngiliz alfabesinde H ve U harfleri";"Letters H and U in the English alphabet";"";"approved"
"2";"HÜ";"alphabet-pair";"";"Türk alfabesinde H ve Ü harfleri";"Letters H and Ü in the Turkish alphabet";"";"approved"
"2";"HV";"alphabet-pair";"";"İngiliz alfabesinde H ve V harfleri";"Letters H and V in the English alphabet";"";"approved"
"2";"HW";"alphabet-pair";"";"İngiliz alfabesinde H ve W harfleri";"Letters H and W in the English alphabet";"";"approved"
"2";"HX";"alphabet-pair";"";"İngiliz alfabesinde H ve X harfleri";"Letters H and X in the English alphabet";"";"approved"
"2";"HY";"alphabet-pair";"";"İngiliz alfabesinde H ve Y harfleri";"Letters H and Y in the English alphabet";"";"approved"
"2";"HZ";"alphabet-pair";"";"İngiliz alfabesinde H ve Z harfleri";"Letters H and Z in the English alphabet";"";"approved"
"2";"IA";"alphabet-pair";"";"İngiliz alfabesinde I ve A harfleri";"Letters I and A in the English alphabet";"";"approved"
"2";"İA";"alphabet-pair";"";"Türk alfabesinde İ ve A harfleri";"Letters İ and A in the Turkish alphabet";"";"approved"
"2";"IB";"alphabet-pair";"";"İngiliz alfabesinde I ve B harfleri";"Letters I and B in the English alphabet";"";"approved"
"2";"İB";"alphabet-pair";"";"Türk alfabesinde İ ve B harfleri";"Letters İ and B in the Turkish alphabet";"";"approved"
"2";"IC";"alphabet-pair";"";"İngiliz alfabesinde I ve C harfleri";"Letters I and C in the English alphabet";"";"approved"
"2";"IÇ";"alphabet-pair";"";"Türk alfabesinde I ve Ç harfleri";"Letters I and Ç in the Turkish alphabet";"";"approved"
"2";"İC";"alphabet-pair";"";"Türk alfabesinde İ ve C harfleri";"Letters İ and C in the Turkish alphabet";"";"approved"
"2";"İÇ";"alphabet-pair";"";"Türk alfabesinde İ ve Ç harfleri";"Letters İ and Ç in the Turkish alphabet";"";"approved"
"2";"ID";"alphabet-pair";"";"İngiliz alfabesinde I ve D harfleri";"Letters I and D in the English alphabet";"";"approved"
"2";"İD";"alphabet-pair";"";"Türk alfabesinde İ ve D harfleri";"Letters İ and D in the Turkish alphabet";"";"approved"
"2";"IE";"alphabet-pair";"";"İngiliz alfabesinde I ve E harfleri";"Letters I and E in the English alphabet";"";"approved"
"2";"İE";"alphabet-pair";"";"Türk alfabesinde İ ve E harfleri";"Letters İ and E in the Turkish alphabet";"";"approved"
"2";"IF";"alphabet-pair";"";"İngiliz alfabesinde I ve F harfleri";"Letters I and F in the English alphabet";"";"approved"
"2";"İF";"alphabet-pair";"";"Türk alfabesinde İ ve F harfleri";"Letters İ and F in the Turkish alphabet";"";"approved"
"2";"IG";"alphabet-pair";"";"İngiliz alfabesinde I ve G harfleri";"Letters I and G in the English alphabet";"";"approved"
"2";"IĞ";"alphabet-pair";"";"Türk alfabesinde I ve Ğ harfleri";"Letters I and Ğ in the Turkish alphabet";"";"approved"
"2";"İG";"alphabet-pair";"";"Türk alfabesinde İ ve G harfleri";"Letters İ and G in the Turkish alphabet";"";"approved"
"2";"İĞ";"alphabet-pair";"";"Türk alfabesinde İ ve Ğ harfleri";"Letters İ and Ğ in the Turkish alphabet";"";"approved"
"2";"IH";"alphabet-pair";"";"İngiliz alfabesinde I ve H harfleri";"Letters I and H in the English alphabet";"";"approved"
"2";"İH";"alphabet-pair";"";"Türk alfabesinde İ ve H harfleri";"Letters İ and H in the Turkish alphabet";"";"approved"
"2";"II";"alphabet-pair";"";"İngiliz alfabesinde I ve I harfleri";"Letters I and I in the English alphabet";"";"approved"
"2";"Iİ";"alphabet-pair";"";"Türk alfabesinde I ve İ harfleri";"Letters I and İ in the Turkish alphabet";"";"approved"
"2";"İI";"alphabet-pair";"";"Türk alfabesinde İ ve I harfleri";"Letters İ and I in the Turkish alphabet";"";"approved"
"2";"İİ";"alphabet-pair";"";"Türk alfabesinde İ ve İ harfleri";"Letters İ and İ in the Turkish alphabet";"";"approved"
"2";"IJ";"alphabet-pair";"";"İngiliz alfabesinde I ve J harfleri";"Letters I and J in the English alphabet";"";"approved"
"2";"İJ";"alphabet-pair";"";"Türk alfabesinde İ ve J harfleri";"Letters İ and J in the Turkish alphabet";"";"approved"
"2";"IK";"alphabet-pair";"";"İngiliz alfabesinde I ve K harfleri";"Letters I and K in the English alphabet";"";"approved"
"2";"İK";"alphabet-pair";"";"Türk alfabesinde İ ve K harfleri";"Letters İ and K in the Turkish alphabet";"";"approved"
"2";"IL";"alphabet-pair";"";"İngiliz alfabesinde I ve L harfleri";"Letters I and L in the English alphabet";"";"approved"
"2";"İL";"alphabet-pair";"";"Türk alfabesinde İ ve L harfleri";"Letters İ and L in the Turkish alphabet";"";"approved"
"2";"IM";"alphabet-pair";"";"İngiliz alfabesinde I ve M harfleri";"Letters I and M in the English alphabet";"";"approved"
"2";"İM";"alphabet-pair";"";"Türk alfabesinde İ ve M harfleri";"Letters İ and M in the Turkish alphabet";"";"approved"
"2";"IN";"element-symbol";"49";"Atom numarası 49 olan elementin simgesi";"Symbol of the element with atomic number 49";"İngiliz alfabesinde I ve N harfleri";"approved"
"2";"İN";"alphabet-pair";"";"Türk alfabesinde İ ve N harfleri";"Letters İ and N in the Turkish alphabet";"";"approved"
"2";"IO";"alphabet-pair";"";"İngiliz alfabesinde I ve O harfleri";"Letters I and O in the English alphabet";"";"approved"
"2";"IÖ";"alphabet-pair";"";"Türk alfabesinde I ve Ö harfleri";"Letters I and Ö in the Turkish alphabet";"";"approved"
"2";"İO";"alphabet-pair";"";"Türk alfabesinde İ ve O harfleri";"Letters İ and O in the Turkish alphabet";"";"approved"
"2";"İÖ";"alphabet-pair";"";"Türk alfabesinde İ ve Ö harfleri";"Letters İ and Ö in the Turkish alphabet";"";"approved"
"2";"IP";"alphabet-pair";"";"İngiliz alfabesinde I ve P harfleri";"Letters I and P in the English alphabet";"";"approved"
"2";"İP";"alphabet-pair";"";"Türk alfabesinde İ ve P harfleri";"Letters İ and P in the Turkish alphabet";"";"approved"
"2";"IQ";"alphabet-pair";"";"İngiliz alfabesinde I ve Q harfleri";"Letters I and Q in the English alphabet";"";"approved"
"2";"IR";"element-symbol";"77";"Atom numarası 77 olan elementin simgesi";"Symbol of the element with atomic number 77";"İngiliz alfabesinde I ve R harfleri";"approved"
"2";"İR";"alphabet-pair";"";"Türk alfabesinde İ ve R harfleri";"Letters İ and R in the Turkish alphabet";"";"approved"
"2";"IS";"alphabet-pair";"";"İngiliz alfabesinde I ve S harfleri";"Letters I and S in the English alphabet";"";"approved"
"2";"IŞ";"alphabet-pair";"";"Türk alfabesinde I ve Ş harfleri";"Letters I and Ş in the Turkish alphabet";"";"approved"
"2";"İS";"alphabet-pair";"";"Türk alfabesinde İ ve S harfleri";"Letters İ and S in the Turkish alphabet";"";"approved"
"2";"İŞ";"alphabet-pair";"";"Türk alfabesinde İ ve Ş harfleri";"Letters İ and Ş in the Turkish alphabet";"";"approved"
"2";"IT";"alphabet-pair";"";"İngiliz alfabesinde I ve T harfleri";"Letters I and T in the English alphabet";"";"approved"
"2";"İT";"alphabet-pair";"";"Türk alfabesinde İ ve T harfleri";"Letters İ and T in the Turkish alphabet";"";"approved"
"2";"IU";"alphabet-pair";"";"İngiliz alfabesinde I ve U harfleri";"Letters I and U in the English alphabet";"";"approved"
"2";"IÜ";"alphabet-pair";"";"Türk alfabesinde I ve Ü harfleri";"Letters I and Ü in the Turkish alphabet";"";"approved"
"2";"İU";"alphabet-pair";"";"Türk alfabesinde İ ve U harfleri";"Letters İ and U in the Turkish alphabet";"";"approved"
"2";"İÜ";"alphabet-pair";"";"Türk alfabesinde İ ve Ü harfleri";"Letters İ and Ü in the Turkish alphabet";"";"approved"
"2";"IV";"alphabet-pair";"";"İngiliz alfabesinde I ve V harfleri";"Letters I and V in the English alphabet";"";"approved"
"2";"İV";"alphabet-pair";"";"Türk alfabesinde İ ve V harfleri";"Letters İ and V in the Turkish alphabet";"";"approved"
"2";"IW";"alphabet-pair";"";"İngiliz alfabesinde I ve W harfleri";"Letters I and W in the English alphabet";"";"approved"
"2";"IX";"alphabet-pair";"";"İngiliz alfabesinde I ve X harfleri";"Letters I and X in the English alphabet";"";"approved"
"2";"IY";"alphabet-pair";"";"İngiliz alfabesinde I ve Y harfleri";"Letters I and Y in the English alphabet";"";"approved"
"2";"İY";"alphabet-pair";"";"Türk alfabesinde İ ve Y harfleri";"Letters İ and Y in the Turkish alphabet";"";"approved"
"2";"IZ";"alphabet-pair";"";"İngiliz alfabesinde I ve Z harfleri";"Letters I and Z in the English alphabet";"";"approved"
"2";"İZ";"alphabet-pair";"";"Türk alfabesinde İ ve Z harfleri";"Letters İ and Z in the Turkish alphabet";"";"approved"
"2";"JA";"alphabet-pair";"";"İngiliz alfabesinde J ve A harfleri";"Letters J and A in the English alphabet";"";"approved"
"2";"JB";"alphabet-pair";"";"İngiliz alfabesinde J ve B harfleri";"Letters J and B in the English alphabet";"";"approved"
"2";"JC";"alphabet-pair";"";"İngiliz alfabesinde J ve C harfleri";"Letters J and C in the English alphabet";"";"approved"
"2";"JÇ";"alphabet-pair";"";"Türk alfabesinde J ve Ç harfleri";"Letters J and Ç in the Turkish alphabet";"";"approved"
"2";"JD";"alphabet-pair";"";"İngiliz alfabesinde J ve D harfleri";"Letters J and D in the English alphabet";"";"approved"
"2";"JE";"alphabet-pair";"";"İngiliz alfabesinde J ve E harfleri";"Letters J and E in the English alphabet";"";"approved"
"2";"JF";"alphabet-pair";"";"İngiliz alfabesinde J ve F harfleri";"Letters J and F in the English alphabet";"";"approved"
"2";"JG";"alphabet-pair";"";"İngiliz alfabesinde J ve G harfleri";"Letters J and G in the English alphabet";"";"approved"
"2";"JĞ";"alphabet-pair";"";"Türk alfabesinde J ve Ğ harfleri";"Letters J and Ğ in the Turkish alphabet";"";"approved"
"2";"JH";"alphabet-pair";"";"İngiliz alfabesinde J ve H harfleri";"Letters J and H in the English alphabet";"";"approved"
"2";"JI";"alphabet-pair";"";"İngiliz alfabesinde J ve I harfleri";"Letters J and I in the English alphabet";"";"approved"
"2";"Jİ";"alphabet-pair";"";"Türk alfabesinde J ve İ harfleri";"Letters J and İ in the Turkish alphabet";"";"approved"
"2";"JJ";"alphabet-pair";"";"İngiliz alfabesinde J ve J harfleri";"Letters J and J in the English alphabet";"";"approved"
"2";"JK";"alphabet-pair";"";"İngiliz alfabesinde J ve K harfleri";"Letters J and K in the English alphabet";"";"approved"
"2";"JL";"alphabet-pair";"";"İngiliz alfabesinde J ve L harfleri";"Letters J and L in the English alphabet";"";"approved"
